Major during first year,Undeclared/no major,Humanities,Social/behavioral sciences,Life sciences,Physical sciences,Math,Computer/information science,Engineering,Education,Business/management,Health,Vocational/technical,Other technical/professional
  No,27.5268,11.3395,5.4524,4.2731,0.6208,0.3989,2.1179,0.9069,5.6498,13.7891,10.1027,3.7512,14.0708
  Yes,12.3488,5.4982,1.085,1.0511,0.4966,0.8928,0.5986,72.569,0.4411,1.4302,0.6477,0.3879,2.553
 ,,,,,,,,,,,,,
Ever majored in math thru 2001,,,,,,,,,,,,,
  No,26.4243,10.9081,5.0647,4.0111,0.5926,0,2.0163,6.8212,5.2493,12.8209,9.3681,3.515,13.2085
  Yes,13.6754,6.6063,7.363,3.6707,2.1181,37.2042,0,7.0291,2.7525,8.4066,5.4712,0,5.7029
 ,,,,,,,,,,,,,
Ever majored in physical science thru 2001,,,,,,,,,,,,,
  No,26.207,10.9918,5.1059,3.9315,0,0.4346,2.0229,6.8507,5.2809,12.9508,9.3943,3.5209,13.3086
  Yes,30.6397,2.0354,4.1672,8.9619,40.6389,0.7694,0,5.0472,1.2157,0.8312,4.5861,0.3652,0.7422
 ,,,,,,,,,,,,,
Ever majored in science/related technologies thru 2001,,,,,,,,,,,,,
  No,26.7658,11.3951,5.4068,0.7155,0,0.4579,2.1541,7.2797,5.5751,13.668,9.4813,3.7796,13.3211
  Yes,20.7965,4.8719,1.5862,40.6373,7.4054,0.2365,0.1943,1.7488,1.2656,2.7607,7.5501,0.0665,10.8801
 ,,,,,,,,,,,,,
Ever majored in social/behavioral sciences thru 2001,,,,,,,,,,,,,
  No,25.592,10.8955,1.5421,3.9982,0.6522,0.4602,2.1786,7.5737,5.3887,13.7998,10.0754,3.8977,13.9458
  Yes,31.8247,10.5454,33.998,4.0797,0.2717,0.2722,0.4768,0.7154,3.844,4.3719,3.187,0.0193,6.3939
 ,,,,,,,,,,,,,
Persistence and attainment 5-year total,,,,,,,,,,,,,
"  Attained, still enrolled",25.7912,11.2865,6.3482,3.5714,0.7192,0.4433,1.417,9.5452,8.2228,10.4461,10.0511,0.5667,11.5913
"  Attained, not enrolled",23.4808,9.4353,5.0398,4.972,0.7544,0.4583,1.8468,6.5976,5.194,13.6599,9.3231,3.6792,15.5589
"  Never attained, still enrolled",30.4243,12.0643,6.1067,5.6484,0.6925,0.25,2.1449,7.6067,5.4873,10.7118,8.9497,1.1231,8.7903
"  Never attained, not enrolled",27.1117,11.5084,4.1318,2.3433,0.3861,0.5188,2.2677,5.6274,3.9401,13.837,9.2471,5.5697,13.511
 ,,,,,,,,,,,,,
Persistence at any institution through 2001,,,,,,,,,,,,,
"  Attained, still enrolled",31.9749,12.0693,3.9048,1.7834,0.2421,0.1972,0.6035,7.9725,5.0695,8.5966,11.2982,2.7261,13.5618
"  Attained, not enrolled",23.8695,9.7767,5.7406,5.0039,0.7584,0.4889,2.0042,7.4222,6.1083,13.1459,9.0175,2.83,13.834
"  Never attained, still enrolled",31.752,12.1933,5.4931,6.0709,0.805,0.2359,1.7953,7.4565,5.0509,10.6494,8.5039,0.7819,9.212
"  Never attained, not enrolled",26.2228,11.553,4.2354,2.1733,0.3963,0.5028,2.2988,5.5408,4.0654,13.92,9.733,5.6127,13.7458
 ,,,,,,,,,,,,,
Persistence and attainment 95-96 (F98),,,,,,,,,,,,,
  Enrll at least one month and attained,17.1989,0.1075,0.2984,0,0,0,2.9974,9.2138,1.9913,13.6376,13.4395,7.6495,33.4662
"  Enrll 8 mos, no degree, enrolled f",27.5989,11.0618,6.7126,5.6076,0.8256,0.5707,2.0037,7.9369,6.0255,11.2781,8.5999,1.8437,9.935
"  Enrolled 8 months, no degree, no fall",19.6405,10.7049,4.2904,4.4117,0.249,0.0981,0.7525,5.9198,4.9787,14.6055,13.3334,4.3472,16.6683
"  Enrolled <8 months, no degree, enr fall",24.6212,13.7258,4.7407,2.0634,0.2779,0.0171,1.8318,7.3108,5.284,15.0257,7.6019,2.3331,15.1666
"  Enrolled <8 months, no degree, no fall",28.6952,9.1932,1.4614,1.0271,0.2012,0.6806,2.5361,3.5367,2.599,14.5592,9.2704,8.9769,17.2631
 ,,,,,,,,,,,,,
Persistence and attainment 96-97 (F98),,,,,,,,,,,,,
  Did not enroll during academic year,25.4532,9.3642,2.0235,1.7818,0.1699,0.5411,2.3,4.4887,2.9401,14.313,10.9754,8.2721,17.3772
  Enrll at least one month and attained,8.8494,6.3773,1.467,1.8168,0.1745,0,2.5634,8.8632,1.9452,17.9816,12.1701,9.17,28.6217
"  Enrll 8 mos, no degree, enrolled fall",30.0856,11.882,6.5319,5.5297,0.8395,0.5144,1.8913,7.6696,6.8588,11.5196,7.6872,0.9443,8.0461
"  Enrolled 8 months, no degree, no fall",21.7482,10.9466,5.5402,2.5219,0.6032,0.0914,3.1196,6.433,5.0249,14.6248,8.4486,3.0995,17.7981
"  Enrolled <8 months, no degree, enr fall",23.3289,9.4444,9.9413,7.4081,0.5836,0,0.523,8.9341,4.5377,8.2512,13.1741,1.4133,12.4605
"  Enrolled <8 months, no degree, no fall",26.529,12.2084,5.6238,2.1011,0.1373,0.7424,0.7363,7.0911,3.1007,11.6442,9.0714,2.5259,18.4883
