Major during first year,Undeclared/no major,Humanities,Social/behavioral sciences,Life sciences,Physical sciences,Math,Computer/information science,Engineering,Education,Business/management,Health,Vocational/technical,Other technical/professional
  Pennsylvania,16.5709,20.7109,5.9732,4.1315,0.1151,0.6568,1.7131,3.1214,10.2393,24.7008,5.8734,0.1754,6.0182
  Rhode Island,20.2973,7.3745,14.6259,0,0,0,6.7809,10.028,6.8792,29.0674,2.495,0.5735,1.8783
  South Carolina,40.9692,3.1639,2.2822,2.4652,0.2492,0,0,17.2266,7.9857,8.9206,3.5989,0,13.1385
  South Dakota,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Tennessee,23.1828,18.4847,3.815,1.1842,0.4211,1.8813,8.7366,9.1847,4.2532,11.6959,2.5298,0.5012,14.1295
  Texas,29.9358,19.5484,2.2275,7.3229,1.639,1.7576,1.0816,3.9566,4.5879,12.3828,8.4518,0.0345,7.0736
  Utah,19.0452,5.4474,7.3273,7.6079,0.6293,0,4.1521,5.4739,14.1348,11.2542,4.7013,3.7426,16.4839
  Vermont,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Virginia,35.3709,8.8399,9.9574,6.4544,1.6277,0,0.7036,4.5091,7.629,12.706,6.2922,1.3678,4.542
  Washington,39.3846,4.38,7.2253,7.8243,1.3121,0.3825,2.056,5.5466,5.6494,9.7991,5.5824,1.6552,9.2025
  West Virginia,11.6876,4.836,7.9201,4.8183,0,0,0,12.1628,16.0403,16.6304,23.8567,0,2.0478
  Wisconsin,38.153,6.565,3.7738,4.3161,5.0371,0.5414,0.5794,5.5425,7.714,15.8616,5.8044,0,6.1115
  Wyoming,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Outlying areas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 ,,,,,,,,,,,,,
Admissions test scores (ACT/SAT),,,,,,,,,,,,,
  400 < X < 500,21.4983,15.8368,9.7911,2.0795,0,0,2.0715,7.6787,5.0412,5.9262,10.5757,0.0965,19.4045
  501 < X < 600,22.8154,8.3731,5.3359,4.3578,0.1605,0,4.0452,3.2777,8.3542,20.3854,13.9069,0.9879,7.9999
  601 < X < 700,23.7787,12.4821,4.1545,3.741,0,0.0457,1.6975,7.2294,9.0505,12.0512,11.4797,2.0736,12.2161
  701 < X < 800,27.4475,13.4796,5.9198,3.2211,0.3107,0.5826,1.1699,4.2037,7.7963,13.3216,9.859,1.2449,11.4432
  801 < X < 900,29.8648,13.2642,7.4528,4.0326,0.6014,0.2887,1.451,6.038,7.736,10.9628,10.0339,0.4436,7.8303
  901 < X < 1000,26.6625,12.9361,7.5463,7.0311,0.7703,0.4801,0.7728,4.4875,7.4851,12.7127,11.7959,0.5676,6.7522
  1001 < X < 1100,27.7797,11.4627,5.6485,5.9394,1.5628,0.6559,1.1892,7.9928,8.0303,12.2112,8.0989,0,9.4286
  1101 < X < 1200,30.4419,10.037,7.7911,8.2392,2.283,0.3608,4.937,11.3355,4.2926,6.7669,5.9228,1.4619,6.1303
  1201 < X < 1300,40.002,8.4414,7.3212,9.3633,3.4992,0.4712,2.1168,16.3515,1.5334,3.7887,3.2728,0.0822,3.7564
  1301 < X < 1400,39.7311,7.2292,5.8386,16.0382,3.1923,1.65,1.3991,11.2364,1.2532,4.8919,2.2646,0.1753,5.1001
  1401 < X < 1500,49.9757,9.0104,5.8153,5.2914,2.8082,1.9845,1.8284,12.4349,0.9631,2.2162,0,0,7.6721
  1501 < X < 1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 ,,,,,,,,,,,,,
Tuition and fees 1995-96,,,,,,,,,,,,,
  0 < X < 3000,27.6239,12.3641,4.4091,3.0496,0.3947,0.434,1.8077,6.1242,5.2098,12.565,10.779,3.5506,11.6883
  3001 < X < 6000,21.284,7.2385,5.9509,6.2699,0.968,0.1797,2.6764,9.8225,6.4718,15.526,6.1172,5.3587,12.1363
  6001 < X < 9000,13.0478,5.3353,5.1369,3.0719,0.6689,0.2921,2.5585,8.1546,3.8389,16.7817,7.0077,2.9946,31.1112
  9001 < X < 12000,19.309,7.028,6.2822,7.5117,1.3767,1.0656,3.315,9.5913,7.2041,11.7952,7.1417,2.355,16.0245
  12001 < X < 15000,25.1925,9.4066,10.5152,8.7314,1.5711,0.7985,2.168,4.861,6.0924,11.8284,7.5417,2.0808,9.2123
  15001 < X < 18000,37.6437,13.248,6.2623,6.9092,0.7099,0.4375,0.9434,7.5459,2.8971,8.516,5.765,0,9.1219
  18001 < X < 21000,55.2748,12.5127,8.5458,3.9512,1.2955,0.8602,0.8773,3.6947,1.877,3.7727,3.396,0.0437,3.8985
  21001 < X < 24000,65.5659,4.9627,7.6903,6.6939,0.3523,2.1599,0,8.1391,0,1.7957,1.5025,0,1.1377
  24001 < X < 27000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  27001 < X < 30000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  30001 < X < 33000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  33001 < X < 36000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 ,,,,,,,,,,,,,
First institution-state location,,,,,,,,,,,,,
  Alabama,9.0301,13.641,1.0772,3.4049,0,0.5094,2.0323,6.5727,11.5156,14.7074,12.1425,11.0419,14.3251
  Alaska,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Arizona,28.5902,8.0238,10.7501,1.4,0,1.7373,0,3.6283,4.0139,10.2208,6.0341,8.6874,16.9142
  Arkansas,13.3617,35.9178,1.8924,1.1059,0.2838,0,1.4015,3.7219,0.5962,7.618,13.2966,6.9663,13.8379
  California,37.1716,7.0361,5.3281,4.9734,0.3909,0.0961,1.0191,7.438,4.5249,11.5353,5.6761,3.1399,11.6706
  Colorado,30.5781,20.5142,3.678,3.4064,0,0,2.6814,0.5857,1.9687,19.8787,4.3852,2.8735,9.4499
  Connecticut,20.5686,6.5804,2.2654,2.8878,0.5932,0,1.766,12.0927,15.621,8.1435,4.8225,17.0413,7.6175
  Delaware,18.265,2.4667,3.1491,2.4867,0,0,7.6999,13.2311,4.3749,3.8473,18.714,4.0042,21.7612
  District of Columbia,36.9937,8.4393,13.5859,0.7868,0.8907,0,2.2584,5.6121,3.2048,14.7096,0,2.034,11.4846
  Florida,18.5905,10.0315,4.2971,3.5367,0,0.0539,1.5788,8.2599,0.5733,9.256,17.6296,6.1241,20.0686
  Georgia,25.6854,10.8276,10.0038,8.9359,1.9634,0.8604,1.1522,9.4356,4.9074,8.1751,11.0006,0,7.0527
  Hawaii,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Idaho,4.4474,18.9471,9.5666,5.7565,0,0,0,7.0386,18.1742,6.0448,23.4176,0,6.6073
  Illinois,22.6307,14.3183,1.8015,2.7444,0.6545,0.1536,3.4532,7.9652,10.0931,17.1578,9.8028,0.6584,8.5666
  Indiana,22.9371,4.3986,6.3607,3.2799,1.3111,0.4779,1.2401,15.7749,9.4843,12.498,4.0797,0.43,17.7277
  Iowa,2.7838,32.212,3.0007,1.9441,1.4559,0.2982,4.2991,3.763,2.6459,19.3551,5.1852,0,23.057
  Kansas,19.1782,3.9916,6.7723,0.5915,0,0,0,14.3955,14.2926,13.5325,6.7518,5.1822,15.3119
  Kentucky,25.2195,3.8379,1.8178,4.9353,0.3705,0.8107,6.2622,3.4022,4.0752,18.7223,24.8791,2.5115,3.1556
  Louisiana,20.7185,8.0836,2.044,3.7139,1.1135,0,0,3.4282,1.4235,10.753,31.7401,1.265,15.7167
  Maine,30.9242,15.7042,0,1.7772,0,0,4.5102,0,6.8659,4.0719,32.6089,0,3.5374
  Maryland,29.3782,2.0049,3.8735,7.5585,0.1793,0,4.7589,6.7575,5.5141,23.1774,1.331,0,15.4665
  Massachusetts,27.1284,13.7164,4.9692,3.8755,0.0368,0.3699,1.5217,8.8567,0.7865,3.3582,2.6111,10.6452,22.1246
  Michigan,37.0453,6.6021,5.9056,4.9948,0.1523,0,1.706,7.9216,3.481,11.9706,3.7079,1.323,15.1897
  Minnesota,25.736,14.0892,3.1473,6.3577,1.757,0.3997,1.96,5.2531,2.2767,14.9859,5.9241,0,18.1133
  Mississippi,3.7667,25.1935,6.2552,4.4784,0.7363,0,3.3242,5.1881,13.9366,17.2519,15.3628,0,4.5062
  Missouri,31.5198,9.6414,10.7038,3.5767,1.5028,0,2.2089,9.6255,7.5366,10.8007,6.0734,2.8995,3.9109
  Montana,3.9094,24.6806,6.2561,1.7113,0.9333,1.3196,0.8102,3.9861,21.7871,14.22,8.4576,1.2652,10.6635
  Nebraska,27.3242,10.039,1.0231,0,0,0,1.5047,9.3281,6.7953,12.2448,10.5828,10.0849,11.0731
  Nevada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  New Hampshire,12.7718,9.9765,11.1724,5.4987,0,1.4535,0,10.3587,0.2165,23.2892,1.2659,0,23.9967
  New Jersey,26.43,17.6205,7.2105,3.7378,0.7465,2.3184,5.7146,5.7784,1.6317,13.4121,2.3951,4.5208,8.4835
  New Mexico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  New York,19.4096,18.5604,6.5147,5.904,0.4763,0.5173,2.4791,6.2841,3.2955,13.6069,7.369,3.1112,12.4719
  North Carolina,42.6071,4.2385,2.1785,4.2078,0,0.0987,0.6495,5.5411,6.8764,8.4505,9.9664,2.948,12.2375
  North Dakota,29.6255,3.0475,0,2.381,0,3.5637,6.0966,6.9856,14.6768,16.9577,3.7698,4.9007,7.9952
  Ohio,13.6473,4.7543,5.4516,2.8584,0.9623,0.2649,1.766,12.7784,5.5903,22.3211,19.382,0.273,9.9504
  Oklahoma,44.6208,16.2144,6.5105,3.8476,0.1236,0.9294,1.7905,1.8354,7.9035,3.4635,5.8148,0.1086,6.8375
  Oregon,22.7243,9.956,8.5803,4.3376,0,0,1.8627,1.4198,2.6289,6.2659,22.7766,5.0677,14.3803
  Pennsylvania,11.7393,17.3192,6.2515,5.0573,0,0.5929,3.0596,3.2954,7.2671,20.1977,12.3705,1.8421,11.0075
  Rhode Island,11.2445,4.1753,8.8096,3.2593,0.4585,0.9937,1.5556,2.8793,2.4472,48.1844,0,0.564,15.4287
  South Carolina,22.3194,6.0336,2.2184,3.131,0.9494,0,0.4139,7.4948,3.8305,6.9196,13.5158,13.7492,19.4244
  South Dakota,41.6277,1.4479,5.3304,2.7793,1.7934,0,0,2.7429,14.4752,20.7352,3.5444,0,5.5235
  Tennessee,32.3356,9.4391,6.0653,0.6661,1.5361,0.3161,6.5682,4.9863,5.1932,8.9804,3.9238,0,19.9897
  Texas,28.3112,14.0783,1.7987,5.4473,1.0943,1.1445,0.5108,3.6995,3.2987,12.0968,8.4157,1.9346,18.1696
  Utah,21.026,4.4948,4.9045,7.5268,0.9665,0.9154,5.5529,6.022,11.6334,10.4462,4.1151,7.3461,15.0502
  Vermont,26.7895,3.1856,22.0761,11.8394,0,0,0,7.0762,6.6242,2.6302,9.1346,0,10.6442
  Virginia,35.3362,5.6556,12.5355,3.4907,1.7383,0,2.3525,7.1359,4.98,11.149,10.8864,0.6065,4.1334
  Washington,43.8679,4.0503,5.9922,3.8349,0.9897,0.6079,1.3944,4.1878,1.2532,20.9386,7.2758,2.0441,3.5632
  West Virginia,9.8351,8.6604,7.432,1.4786,0,0,0,9.1446,11.6288,16.2609,12.5631,7.3061,15.6905
  Wisconsin,44.245,6.1556,1.4583,1.3447,2.0849,0.1665,1.9226,3.1294,3.325,10.5158,11.4858,0.5725,13.5939
  Wyoming,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Puerto Rico,22.1334,1.94,3.8144,6.0124,0,0,4.8234,17.3655,7.1231,20.2527,11.1015,2.2139,3.2197
